text|label|family
China's relations with the United Arab Republic were strained on account of her providing Khaled Baghdash a platform in Peking.|0|Traditional
Before he got back to the Agent, McMahon therefore reverted once more to the boundaries. |0|Traditional
Vcsted with the authorities of the Political Agent to the GovernorGeneral, NorthEast Frontier of Bengal, in addition to his duties as the Civil Commissioner of Rangpur, Scott directed his attention to support and encourage the frontier chiefs and tribes to resist and shake off the Burmese yoke.|0|PostRevisionism
The Namku Chu, unfordable at this time because of the monsoon rains and between twenty and fifty feet wide, runs like most of the streams in these mountains in a deep bed, with sheer banks twenty to thirty feet high.|1|Revisionism
i was going to a forward area in the company of the officer commanding a unit.|0|Traditional
T'ang should either accept Fraser's draft in its entirety or he should go home, leaving the Lhasa Convention as a valid (in British eyes) agreement without any Chinese participation.|1|Revisionism
At the two extremities of the Assam Himalaya, in the Tawang Tract and along the Lohit, there is evidence in preMcMahon days of a great deal of movement up and down between the plains and the Tibetan plateau (in the case of Tawang) or the limits of direct Tibetan administration (in the case of the Lohit).|1|Revisionism
The Nagas are less restive now, but, from 1961 onwards, the Mizos have been erupting into occasional revolts.|0|Traditional
Lord Crewe confessed that the F O were 'strongly averse ' to a separate convention with Tibet. |0|Traditional
In May 1961 Agence France Presse reported the existence of two more airfields in Tibet, at Drechen in the Phari Dzong area and Kala in the Vuta valley.|0|Traditional
When, on reaching the Tibetan capital, he found that the Lama had bolted (As to the Dalai Lama)|0|Traditional
Yet for almost a decade India has been crying for the liquidation of United States bases in East Asia and the return of Formosa and the offshore islands to Communist China.|0|Traditional
If we do not stand by the Hunza men in a case when right is so obviously on their side, we shall give the impression that Russia has only to threaten in order to carry the day, and shall forfeit much of the respect upon which on the confines of Empire power so largely depends.Gurzon, in fact, rejected the MacartneyMacDonald boundary in favour of the Ardagh boundary, which was in turn a strategic adaptation of the Johnson boundary of 1865.|1|Revisionism
At the same time, both as an insurance against attack and as a demonstration of strength, the Gyantse Trade Agent's escort should be at once reinforced.|1|Revisionism
In the latter months of 1960, Laos rather than South Vietnam was the main focus of attention in the Indochina area.|1|Europe&America
If aircraft could be kept in touch by wireless with APO, it might be possible to concert air demonstration not (repeat not) involving offensive action over party at some effective point.|0|Traditional
Nehru was further criticised for simply referring to mutual respect in a statement of April 27, 1959, and omitting the words for each other's territorial integrity and sovereignty.|0|Europe&America
Another of Yin's difficulties lay in the unusually strong, and unexpected, opposition which the Tibetans offered to the Chinese advance.|0|Traditional
Interaction with the Information Thus far we have considered the influence of the characteristics of the information on the individual's attitude toward it.|1|Revisionism
If the Generalissimo's book China's Destiny is to be taken as the text, there can be little doubt that Chinese imperialist and irredentist sentiment has hardened, and it is early to read his more recent expression of sympathy with the ideals or Tibetan autonomy as an exception to this impression. |0|Traditional
These are border and frontier questions.|0|Traditional
Pivotal to northeast Asian developments, of course, is Japan and its ally, the United States.|1|Europe&America
These demands were made by a new and growing influence in Naga affairs, a body known as the 'Naga National Council'.|0|Europe&America
Having thus put on record our claim to the outer red line on the far side of the watershed, my own view is that no further action regarding the frontier line is necessary. |1|PostRevisionism
Some cadres with large families do not get enough to eat so that they are directly affected by a lowered living standard. |1|Europe&America
Much of the CPR's policy toward South and Southeast Asia can reasonably be interpreted as the Chinese entry in the race for access to and influence in the Indian Ocean area.|0|Europe&America
Still another irritant was that the SinoIndian agreement on trade between India and Tibet, signed in 1954 and useful as a means of supplying the growing Chinese garrison in Tibet, was due to expire on June 3, 1962.|1|Europe&America
The alternative line would run the whole way along the crest of the Mustagh mountains, through the Karakoram, Shimshal, and Khunjerab passes to the Kilik, where it would join the Hindu Kush.|1|PostRevisionism
Following Nehru's visit to Paro, Jigme Dorje, the then acting Prime Minister of Bhutan, came to India and said in some of his speeches that he would not like his country to involve itself in the SinoIndian border dispute' and that because 'Bhutan did not want to get involved in the dispute he would not support the Indian stand that the McMahon Line was the valid boundary between India and Tibet.|0|Traditional
Two messengers were then despatched to search for this man Phuntshog.|0|Europe&America
The confusion, to which a fuller reference has been made in the following paragraphs, was largely a reflection of the state of affairs in Lhasa itself.|0|Traditional
It was replaced by another contest between Army H.Q. and formations below it, but discipline made that a contest that could be won only by H.Q. |1|Revisionism
The CPR bases its own claim to Taiwan largely on the Cairo Declaration of 1943 promising Taiwan to China, of which the CPR of course claims to be the legitimate government in succession to the Kuomintangcontrolled Republic of China.|1|Europe&America
If not, the Indian case depends on giving priority to the watershed principle over the map of 1914. |0|Europe&America
He further said that ''the terms failed to fulfil India's condition that the treaty should enable all countries especially interested in the maintenance of a stable peace in the Far East to subscribe to the Treaty, sooner or later.|0|Traditional
Thus, while the new trade marts specified in the Convention would be accepted, any change in the 1893 Regulations governing them would be left to future AngloChinese, not AngloTibetan, parleys.|0|Traditional
In such a case, the relevant question is whether he chooses the right rule of decision (in those cases in which more than one rule can be used).|1|Revisionism
For effective mountain warfare, we would need, besides semiautomatic weapons, light machine guns with nearly five times the fire power of our heavy medium machine gun, mortars, light mountain artillery and antipersonnel mines. |0|Traditional
I came to know of specific cases of antinational and indiscreet utterances-some made in the presence of foreigners-on the part of a few senior officers.|1|Revisionism
In Nehru's opinion, India would, in any case, need only a small but mechanized and well equipped army for its needs. |1|Revisionism
However , one day, the Tibetans noticed that the Article 4 of the new Chinese Constit ution said, all the people of the countries whose delegates are present in this Assembly are subjects of the Kuomintang government.|0|Traditional
I myself do not pretend to decide as to the matter of right, but here again I can vouch that the boundary marked accurately represents the present state.|1|Revisionism
On receiving the news of the Chinese advance on their frontier the Gurkhas had immediately appealed to Britain for help and a Mission under a Colonel Kirkpatrick was sent to Nepal.|0|Europe&America
Xu Yan, prominent Chinese military historian and professor at the PLA's National Defense University, gives an account of the Chinese leadership's decision to go to war.|0|PostRevisionism
In fact, what emerged out of the agreement was not the legitimate Tibetan autonomy within the framework of Chinese suzerainty, as the government of India wanted, but fullfledged Chinese sovereignty over Tibet, with restricted Tibetan rights to autonomy in certain limited spheres. |0|Traditional
International law thus recognizes that in certain cases, particularly where there are geographical difficulties, a more limited exercise of jurisdiction than that exercised by India in the Eastern Sector, for instance, is nevertheless considered adequate to establish possession.80 The Indian proof of peaceful and continuous display of sovereignty, with the attendant Chinese failure to prove any Indian animus to abandon the Eastern territory, are such persuasive arguments that they hardly require exposition of more elaborate legal precedents.|0|Traditional
the excellent article by Chalmers A. Johnson, Civilian Loyalties and Guerrilla Conflict, World Politics, vol.|0|Europe&America
Some Speculations To conclude, let us speculate. |0|Traditional
The only interested party to which this confused and dangerous situation appeared to offer nothing was China: unless, that is, China were prepared to accept a fully independent Korea under the auspices of a United Nations in which American interests were powerful.|0|Europe&America
Whose History of the Frontier Areas Bordering on Assam (Government of Assam Press, Shillong, 1942) is definitive.|1|Revisionism
This Soviet approach to the common dilemma is naturally anathema to the CPC.|0|Europe&America
Persistent requests from Army headquarters in India for the replacement of old weaponry received only a cautious reaction from the Indian government.|1|PostRevisionism
The mechanism of AngloChinese discussion over the affairs of the IndoTibetan border failed from the start to work in a way at all satisfactory for the Indian government since the Tibetans consistently refused to accept anything agreed to on their behalf by the Chinese.|1|Revisionism
Situated in the mountains just to the south of the IndusTarim basin watershed, and today firmly part of the Pakistan sphere of influence, Hunza was at this period regarded by China as a tributary state.|1|Revisionism
Nehru had raised this specter in a nationwide broadcast November, 1962 announcing the fall of Bomdi La: Now what has happened is very serious and very saddening to us and I can well understand what our friends in Assam must be feeling, because all this is happening on their doorstep, as one might say.|1|Europe&America
The feeling of superiority derived from faith in the cultural, religious, and moral values bequeathed by India to the civilized world in general and specifically to Asia.|1|Revisionism
He repeated what he had written earlier, in his letter of 23 January, 1959, that the SinoIndian boundary had never been formally delimited and challenged what the Indian Prime Minister had tried energetically to prove' that most part of the SinoIndian boundary had the sanction of specific international agreements between the two governments. |0|Traditional
In 2012, we are remembering the 50th anniversary of a tragic event which has remained a deep scar on the Indian psyche: the border war with China. |0|Traditional
In 1847 the great explorerbotanist, and friend of Darwin, Dr. (later Sir John) Hooker, who visited Darjeeling on his way to Sikkim, had a memorable journey in many ways.|0|Europe&America
In fairness to Mr Nehru, it must be said that he was not oblivious of the Chinese threat, even though it took him time to be fully aroused.|0|Traditional
In Tibet they began preparing for a military confrontation quite openly.|1|Revisionism
Distraught by mounting pressures of economic breakdown at home and widening breach with the Soviet Union, China was now faced with the prospects of a long drawn out war on battlefields deep in the Indian plains separated from her main sources of supplies by thousands of miles.|0|Traditional
In a frank and firm speech of welcome at the Palam airport, Nehru stated how the relation between India and China had been imperilled in the present and for the future and the very basis on which they stood has been shaken.|0|Traditional
Karachi now believed, mistakenly, that India had the capability as well as the intention of launching an offensive in the western sector, an assessment that reflected the problem of distinguishing between offensive and defensive intentions based on logistics or weaponry.|0|PostRevisionism
During Peking's fencemending operations of 19601, Afghanistan was linked with China in a Treaty of Friendship and Mutual NonAggression without any raising of the frontier question; while Pakistan, which had notified its willingness to settle the question of its 'undemarcated' boundary with China, continued to be very guardedly treated. |0|Europe&America
India and Bangladesh started talks in March 2002 to resolve their border disputes.|0|PostRevisionism
This forward policy, as it came to be called, was not formulated in the normal processes of government; it emerged in a kind of virgin birth out of the situation in which the Indian Government found itself at the beginning of 1960.|1|Revisionism
After Zhou's departure, Nehru read the detailed report on the negotiations in Beijing and issued an important directive.|0|PostRevisionism
Under these circumstances it is inconceivable that all Chinese calculations and expectations emerged incrementally in response to successive Indian actions and pragmatically resulted in an estimate of threat wholly based on the material evidence. |1|Europe&America
For example, the concentration of Chinese forces in Tibet was explained away by internal unrest there.|1|Revisionism
keeping her as far as possible removed from our present administered area'. Explaining the reversal of frontier policy to London, Lord Hardinge said that 'during the past few months there have been further developme nts in the Chinese policy of expansion which it is impossible to ignore', citing Chinese moves in the tribal territory.|1|Revisionism
The Ladakh border had been shown by Johnson as reaching the Kunlun crest by way of the watersheds along the eastern edge of the Sarigh Jilganang and Amtogor basins.|1|Revisionism
But there is a broader issue: What are the criteria for membership in the socialist camp, and who is to have the authority to determine when they have been satisfied and when they have not?|0|Europe&America
Where the TsangpoBrahmaputra cuts through the main range Abor tribesmen and Tibetans inevitably came into contact; and in this region the Tibetans by the end of the nineteenth century appear to have established some measure of political control over the nearest tribal villages. |1|Revisionism
In keeping with this concept, India in May revived and slightly modified the proposal that Nehru had put forward in November 1959 for joint withdrawals behind each other's claim line.|1|Revisionism
Public works have been carried on in the same way.|0|Europe&America
This move would have put the Indians on to the crest of Thag La ridge; from there a strong and well supported force could have made the Chinese positions on the southern face of the ridge untenable.|1|Revisionism
If Calcutta was not sure about the boundary, Peking was not blessed with clarity either.|1|PostRevisionism
Soviet and Chinese wooing of the neutrals was intensified after 1953 by the Dulles policy of chilliness toward the neutrals combined with efforts to sway some of them into alignment with the West.|0|Europe&America
One of its core perceptions has been that China does not constitute a clear40 HOFFMANN cut, direct military threat to India in the near term, but that the longer term is uncertain.|1|PostRevisionism
The limited nature of the Chinese military action, together with the ostentatious burying of Indian dead, suggests the attack was carefully designed to serve as a deterrent signal rather than a major punitive blow or a strategic offensive.|1|Europe&America
However, the demarcation of NepalChina boundary was made through a survey from a much lower altitude.|0|PostRevisionism
Again, without any clarification from the Government of Assam or Delhi (or Simla): I had no doubt at all that I should be forbid den to cross into Tibet.|0|Traditional
The foreign relations of Tibet have naturally been circumscribed owing to the inaccessibility of that country and the seclusion of its people. |0|Traditional
The terms of this document require some explanation which it seems best to confine to a footnote. |1|Revisionism
The field command, then, tried to delay for as long as possible the execution of what seemed like irrational orders.|1|Revisionism
Immediately after the fleeting of a large number of tibetan rebels into India, Indian troops started pressing forward steadily across the eastern section of the SinoIndian boundary.|0|Europe&America
In other words, the application of principles such as those of the Panch Sheel Agreement were not universal in time and place but dependent on ideological circumstances and the attributes of the actors. |1|Revisionism
A Nepalese delegation attended the tenth anniversary celebrations in Peking on 1 October, 1959, and a Chinese industrial exhibition was opened in Kathmandu on the same day.|0|Traditional
Mankind would survive, but imperialism would not, and socialism would triumph.|0|Europe&America
The specific entry is for 20 June 1938, in Ibid. |0|Traditional
It should be remembered that the group or organization is composed of individuals who have different roles within it.|1|Revisionism
At this point in the talks Fraser raised a subject which had been of Indian concern for a number of years, but which had hitherto played no part in formal AngloChinese diplomacy. |1|Revisionism
Rest of N.E.F.A.-Under 5 Infantry Brigade, five battalions, but these had been wid ely dispersed and were generally not in strength of more than two companies.|1|Revisionism
Also, in Kennedy's case, the pressures of the domestic imperative were overwhelming.|0|PostRevisionism
Wellinformed as he was about men and affairs, it may be safely presumed that the Lama must have known about the AngloChinese Agreement of April 1906.|0|Traditional
We had awakened to the possibility of a Chinese threat only in AugustSeptember 1959 when Chinese occupation of Indian territory over a year ago was made public for the first time.|0|Traditional
Everyone in the Army was petrified of the Prime Minister,' a less senior officer recalled, and went on to make the point that this was no ordinary Prime Minister: ' Few men in history have been given such voluntary, plenipotentiary powers.|1|Revisionism
The American decision to protect Taiwan, announced by President Truman on June 27, threatened not only to disturb the termination of the Chinese civil war on Communist terms but also to throw the coordinated 18 North Korea . .|1|Europe&America
Of so little value have been the pious phrases of the Panch Shila, the five elements of peaceful coexistence enumerated in the 1954 agreement, that by November 1962 a massive Chinese army was on the march towards the Indian plains and the Indian Republic was suffering the worst military disaster of its short life, a debacle to be compared, perhaps, to the British retreat from Kabul in the winter of 18412. |1|Revisionism
They are given some extrinsic significance, however, by two things.|1|Europe&America
China and India had a very rich cultural past and enjoyed political and cultural influence far beyond their geographical borders.|1|Revisionism
Bell's Misston to Lhasa, 192021 THE QUESTION of arming Tibet against a possible threat from China was, as may be evident, a matter of serious concern at the highest levels of government in Delhi, no less than in London.|0|Traditional
No border is shown in the area just to the southeast of Kashmir and down to Nepal, between Uttar Pradesh and Tibet.|1|Europe&America
U Nu (who became Prime Minister again shortly after this)|1|Revisionism
Instead of creating a buffer to its north so that the Russians would not be able to acquire the Chinese suzerainty over the Mir, why should not the Mir's relationship to China be severed once and for all?|1|Revisionism
This was a most unhappy solution. But Kaul was adamant.|1|Revisionism
The Karakash was also a trade route of sorts and a link between Chinese Turkestan and Tibet.|1|Revisionism
According to Amdo Champa: At that time, Minister Surkhang treated Gendun Chhompel well. |0|Traditional
The question asked has been: Will all of this continue over the longer term? |1|PostRevisionism
Third, the PLA could take advantage of the local power balance and attempt to drive Indian forces back to whatever line seemed politically and militarily optimal before winter froze the two sides into position. |1|Europe&America
In fact, they soon began to win victories of such proportions that overt Chinese intervention became increasingly unnecessary.|1|Europe&America
Plugging the leaks along the porous border is one measure that needs to be implemented.|0|PostRevisionism
l On the contrary, the construction of new roads parallel to the original highway with branches to the advanced military posts suggested adetermination to claim a larger area.|0|Europe&America
Units of the Third Field Army training for the operation were struck by an epidemic of liver fluke.|1|Europe&America
No less revealing was his warning, 'But without such precaution, it will be impossible to prevent serious disputes and misunderstandings.'|1|PostRevisionism
Not one of them, including Lt. Bikram Singh, survived.|0|Traditional
As early as 1955 China had started a survey for constructing the Yehcheng-Gartok road or the SinkiangTibet highway, through Ladakh in Aksai Chin.|0|Traditional
To Yuan Shihkai, the Dalai Lama was franker.|0|Traditional
Irrawaddy divide in Burma, declined to create for itself difficulties in the Karakoram as well.|1|Revisionism
Moreover the entire TibetanBritish agreement had to remain secret because of its violation of the two treaties.|1|Europe&America
Of these China had by 1932 recovered the Chinese Eastern (Changchun) Railway without compensation, but the pretext of the Korean War served to keep Soviet forces in Port Arthur.|0|Europe&America
Although it is not entirely clear how hard Liaquat pushed, both American and british diplomats felt that he made it clear where Pakistan stood in the Cold War. |0|PostRevisionism
These were the reasons retailed to Weir by the Tibetan Trade Agent at Gyantse.|0|Traditional
This may explain India's lack of sensitivity to China's signals and warnings of intentions to act as well as China's increasing sensitivity to India's behavior, a sensitivity that was finally expressed in the large scale military blow.|1|Revisionism
At the beginning of 1962, eight additional AN12s and sixteen MI4 helicopters were ordered, despite the dissatisfaction of the air force with the performance of the Soviet helicopters in the Himalayan heights (17, feet).|1|Revisionism
In the Subansiri region a policy of slow penetration by winning tribal goodwill and acquiring accurate information about tribal customs and economy was initiated.|1|Revisionism
zhan lishi zhenxiang (True history of the SinoIndian border war), Hong Kong:|0|Traditional
PLA attacks Indian positions at Thag La and in Ladakh in coordinated offensive; NCNA and Ministry of National Defense charge India with large scale, all out attacks Ministry of National Defense announces Chinese frontier guards need no longer restrict themselves to the limits of the illegal McMahon line PRC proposes (1) twenty kilometer mutual withdrawal and disengagement from the line of actual control, (2) res107 toration of status quo ante in NEFA provided Indians do not reestablish lost posts in NEFA and Ladakh, and (3) Peking or New Delhi as meeting place for prime ministers October 27 PLA offensive ends; People's Daily publishes 15,000 word attack, More on Nehru's Philosophy |1|Europe&America
The members of the family looked up to the father with respect and admiration but also to a certain extent feared him, as he was hot tempered, authoritative, and at times even severe.|1|Revisionism
One immediate effect was a decrease in Ladakh's commerce with its neighbors, although this consequence was at first attributed to Chinese policy in Sinkiang rather than in Tibet.|0|Europe&America
Ethnically, they belonged to the Bhuties, who, although making up only 25% of Sikkim's popu lation, inhabited the border area with Tibet, whereas the larger ethnic group of Sikkim (70%), originating from Nepal and preferring the warmer climate, lived in the south.|1|Revisionism
Like the little devils who trespassed on the land of the Buddha, they have defied the laws of the state, forcibly occupying the land and inciting my subjects by saying that it is forbidden to abide by the law a nd render services to Tibetan personnel such as rendering official services and paying taxes.|1|Revisionism
According to him, the twentieth century had brought upon an era where both the countries could create fresh bonds of friendship that would endure (Nehru 1992[1946]: 200).|1|PostRevisionism
Shortly after the invasion of Tibet had begun the previous summer, the Kashgar Khan had died while crossing the Sugat Pass on his way back to Turkestan from Ladakh.|0|Europe&America
By the same token, even when the attitude is accurately perceived, it may be that the different perceptions of the two sides of what should be the proper behavior resulting from it will lead to inaccurate expectations of anticipated actions. |1|Revisionism
Yet the Indian Government arbitrari ly said that it started from 27deg48' N and, on this pretext, it not only refus ed to withdraw the Indian troops from the Kechilang River [Namkha Chu] area north of the Line but made active dispositions for a massive military attack, attempting to clear the area of Chinese frontier guards defending it.|0|Traditional
Churchill and Eden visited Washington in January.|1|Europe&America
The degree of Chinese attention to such materials is problematic, given the preoccupation with domestic problems and the marginal sense of threat communicated in the Chinese press and diplomatic notes until late April. |1|Europe&America
Cooperation with China will give India access to much desired industrial and military technology.|0|PostRevisionism
Is it not certain that our policy is to satisfy Tibet, China and Russia-that we mean to keep our word-deliberately given to all three-that we mean no intervention or anything leading to intervention?|0|Traditional
